Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,181588,243.645,97,50929,1.68
UWQNrpakgcA,Consistency is the key #viralshorts #trending #consistency #key #motivation #ytshorts,"Aug 28, 2025",9,30331,45.8772,14,456,3.51
bCDnDtsTHAk,Forget the Pain....... #trending #ytshorts #motivation #forgetyourememberlove #shorts,"Aug 29, 2025",15,5051,10.236,3,316,4.75
mx7T928-TGs,Power of brain #ytshorts #trending #viralshorts #shorts,"Sep 18, 2025",54,4717,26.2948,3,173,1.16
_hVP92r3z3I,✨Life sounds good 😊#trendingshorts #ytshorts #lifelessons #motivation 🧬🧬🧬🧬🧬,"Sep 4, 2025",12,4364,8.3003,3,254,2.36
2imBUt8eZaI,Trending new viral shorts #ytshorts #motivation #trending #viralshorts #shorts,"Sep 29, 2025",5,4010,3.7119,2,215,1.86
atUiReJlleM,Best Moment for every students || Students Life#  truelinemotivation#bestmoments #ytshorts  🧬🧬🧬🧬🧬,"Aug 29, 2025",21,2943,5.7079,1,194,2.06
y2JHFtq9ams,💢💯💯 True Lifeline of Vivekanand Ji 🙏🙏#truelifeline #viralshorts #ytshorts #motivation #shorts,"Sep 1, 2025",5,2510,2.9471,3,172,0.58
Urz8OAqkBvU,Self choose your path... #trending #viralshorts #ytshorts #trending #ytshorts #motivation #shorts,"Oct 9, 2025",6,2226,2.4439,1,230,2.61
BTpXzGw5YO0,Trending Trueline Motivational Video #treading #ytshorts #viralshorts #motivation #shorts,"Sep 1, 2025",5,2207,2.1385,1,156,1.28
Posnyxj3CdQ,🕑⏰Value Of Time #ytshorts #motivational #shorts #value of time #shorts 🕑🕑,"Aug 27, 2025",6,1957,2.2752,0,182,0
C0AYcdWzRO4,🔥💯💯💢 True Lines Of Life#reality of life#ytshorts #treanding #shorts  🧬🧬🧬🧬,"Aug 16, 2025",8,1957,2.3236,0,158,1.27
lEmZXizhPbk,Life is the best teacher...#motivation #life #viral #shorts,"Mar 8, 2026",13,1933,1.5375,1,210,3.81
iRuk5T0EQ5w,Life is full of problems....#lifelessons #trending #viralshorts #ytshorts #motivation,"Mar 4, 2026",7,1880,1.6716,1,212,2.36
PW4UZO3V9QE,Every moment is precious || Power of time #trendingshorts #ytshorts #motivation,"Sep 4, 2025",6,1857,1.6742,0,257,1.95
ex6uWvwk3k0,Power of Mind...#trendin #ytshorts #viralshort  #inspirationalquotes,"Dec 1, 2025",5,1744,1.58,9,264,2.65
spEEZrdkeVw,Power of money 💰 💰#trending #ytshorts #motivation #shorts,"Apr 23, 2026",13,1690,1.4237,0,132,2.27
oN27dk_K1eE,Growth doesn't happen... || Lifelession #trending #ytshorts #motivation #shorts,"Mar 18, 2026",13,1649,1.7385,1,178,0.56
O0zvFK_Zo_o,Human || Power of human #viralshorts #trending #ytshorts #powerfulmotivation #shorts,"Oct 5, 2025",5,1595,1.7226,2,245,1.22
YlbkS6wRG_c,APJ Abdul Kalam Quotes|| Don't compare#trending #ytshorts #motivation #shorts,"May 3, 2026",13,1582,1.5985,2,130,1.54
